PRICE,BEDS,BATH,PROPERTYSQFT
315000,2,2,1400
195000000,7,10,17545
260000,4,2,2015
69000,3,1,445
55000000,7,2.3738608579684373,14175
690000,5,2,4004
899500,2,2,2184.207862
16800000,8,16,33000
265000,1,1,750
440000,2,1,978
375000,2,1,850
689000,3,2.3738608579684373,1162
259000,3,1,2184.207862
430000,2,2,2184.207862
895000,3,1,2184.207862
549000,2,2,1000
975000,3,2,1734
199000,3,1,325
350000,1,1,700
599000,2,2,974
639999,3,2,1260
1300000,2,2,1244
1100000,6,3,2837
349900,1,1,651
750000,2,2,1330
1690000,6,4,2200
325000,1,1,2184.207862
2250000,12,2.3738608579684373,5670
230000,1,1,2184.207862
1299888,10,6,3156
925000,5,2,2750
329000,1,2,794
1300000,10,8,5040
848000,5,4,2080
279000,1,1,750
528000,1,1,602
1299888,11,4,3156
275000,1,1,2184.207862
1165000,1,1,815
1199000,6,5,3290
700000,6,2,3053
2150000,8,4,3200
1280000,7,5,2460
199900,1,1,2184.207862
369000,2,1,2184.207862
699000,4,3,1591
4250000,3,2,2400
825000,2,2,2184.207862
329000,2,1,837
889000,2,2,1520
769000,2,2,2184.207862
1200000,4,2,2536
220500,2,1,900
1999000,3,3,2739
3250000,2,2,1300
1650000,2,2,1267
1049000,4,4,2554
998800,3,4,2400
998800,3,4,2400
3150000,3,2,1952
849000,1,1,2184.207862
559500,1,1,800
750000,1,1,835
1900000,2,2,1029
1250000,2,2,1201
1395000,2,2,1182
198000,1,1,2184.207862
619888,3,2,1400
1489000,6,2.3738608579684373,3780
65000000,3,2.3738608579684373,15200
1595000,3,3,1413
655000,3,2,803
1175000,2,2,1115
2880000,9,2.3738608579684373,2350
798000,3,4,2150
1685000,3,2.3738608579684373,2184.207862
31000000,3,4,4492
2550000,3,2.3738608579684373,2184.207862
119000,3,2.3738608579684373,2184.207862
269000,5,2,2184.207862
1650000,2,2,1065
1650000,2,2,1065
12950000,5,4,3344
5750000,3,2,2223
250000,5,2,2184.207862
950000,6,2.3738608579684373,3384
585000,3,2,1100
8750000,6,6,2184.207862
595000,3,1,1316
215000,1,1,625
950000,1,1,621
314000,3,1,1572
395000,5,1,1000
600000,2,2,2184.207862
790000,6,3,2520
539000,2,2,1100
1295000,4,2,1995
245000,3,1,2184.207862
400000,7,3,2385
55000000,8,8,12000
280000,1,1,1000
899000,3,2,1440
2280000,2,2,1400
649000,4,3,2184.207862
739000,6,4,2184.207862
1495000,4,2.3738608579684373,3000
3950000,5,2,3528
325000,2,1,979
299999,3,1,2184.207862
2695000,6,5,4720
4800000,6,2.3738608579684373,3958
694000,3,3,1360
688888,4,2,2846
400000,4,2,1980
346000,5,2,2184.207862
400000,4,2,1980
346000,5,2,2184.207862
265000,3,1,2184.207862
319000,3,2,1224
24800000,6,8,2184.207862
1100000,9,4,3276
309000,6,2,2184.207862
650000,3,2,1522
799000,4,2,1975
259000,3,2,1089
1195000,4,4,2704
17500000,5,6,5499
189000,2,2,966
759000,3,2,1200
275000,4,1,2184.207862
499000,1,1,630
1249000,3,2.3738608579684373,2184.207862
69900,2,1,700
1150000,12,6,5508
1749900,5,4,3740
1399000,3,4,1993
649000,3,2,1182
499000,5,2,1760
1050000,5,4,3132
5000000,10,9,6425
90000,1,1,660
56000000,11,10,24000
650000,3,2.3738608579684373,1638
500000,4,3,1794
350000,2,1,490
1099000,4,2,2184.207862
90000,1,1,450
839000,4,2,2184.207862
659000,8,3,2184.207862
659000,8,3,2184.207862
399999,3,1,2184.207862
250000,3,1,2184.207862
1740000,2,2,1132
650000,4,2,2244
1165000,3,4,3500
729900,3,2,1150
1880000,3,4,3150
449000,2,2,1549
1175000,3,2,2250
2750000,3,2,2184.207862
995000,3,2,2184.207862
2000000,3,2,2000
15000000,8,6,2184.207862
2800000,4,6,8333
2600000,5,4,3024
3500000,6,6,6000
550000,1,1,2184.207862
769000,3,4,2184.207862
675000,3,2,2400
879000,4,2,1238
918888,3,2,2184.207862
2400000,4,2,1892
1730000,6,2.3738608579684373,3024
425000,5,2,2184.207862
2500000,5,2.3738608579684373,1450
998000,4,4,2000
1195000,4,4,2688
1649000,3,2,2052
955000,4,4,2100
949000,6,3,2184.207862
880000,3,2,1743
39995000,4,2.3738608579684373,10582
1250000,8,2.3738608579684373,2184.207862
899999,3,2,1784
198000,1,1,750
549000,5,3,496
1088888,3,4,1320
888000,4,2,2686
65000,3,1,230
1449999,3,2,2184.207862
14900000,5,5,2184.207862
1695000,5,2,2250
2499000,5,2.3738608579684373,4100
1970000,4,4,2508
1895000,2,2,2184.207862
689000,3,2.3738608579684373,1248
649999,3,2,1440
669000,3,2,864
800000,3,2,825
2375000,1,2,2184.207862
2400000,6,6,6688
390000,2,1,586
2250000,1,1,2184.207862
1450000,4,2.3738608579684373,2700
725000,2,2,792
269000,1,1,2184.207862
695000,2,2,2184.207862
1300000,3,2,2184.207862
459000,3,2,1250
689999,3,2,1008
425000,3,2,1405
10000000,5,4,6800
1525000,2,2,2184.207862
1499000,9,6,3519
695000,2,2,2184.207862
1300000,3,2,2184.207862
269000,1,1,2184.207862
425000,3,2,1405
1499000,9,6,3519
519000,3,2,1480
358000,2,1,2184.207862
975000,3,1,2184.207862
29200000,12,10,11638
498000,2,1,975
385000,1,2,900
999000,6,2,3144
399000,1,1,2184.207862
599000,4,4,2800
829888,4,2.3738608579684373,1800
699998,3,2,1548
1088000,5,2,2184.207862
999000,6,2,1280
1188888,15,9,2184.207862
265000,1,1,700
288000,1,1,845
999995,3,2,1750
1495000,2,2,1350
925000,1,1,1000
349000,2,1,2184.207862
2000000,4,4,3000
839000,3,2,1376
329000,1,1,820
899000,6,3,3683
615000,3,2,2184.207862
800000,2,2,1257
430000,2,2,1248
499000,3,2,1288
439500,3,2,1400
299000,1,1,2184.207862
2580000,8,2.3738608579684373,6493
200000,1,1,613
425000,3,1,2184.207862
69000,1,1,850
1995000,3,2,1546
230000,1,1,620
220000,1,1,590
198000,3,1,2184.207862
1495000,1,2,2184.207862
475000,1,1,615
199900,2,1,2184.207862
1150000,2,2,1444
1575000,3,2,2184.207862
229000,1,1,2184.207862
2700000,8,4,2184.207862
320000,2,2,936
295000,2,1,700
550000,3,2,2184.207862
285000,2,1,1000
328000,1,1,800
1388000,4,3,2184.207862
3000000,10,10,2184.207862
2198888,7,6,2184.207862
650000,6,2,2310
1100000,1,2,890
2649000,5,4,4050
849000,2,1,800
6500000,2,2,2184.207862
560000,3,1,550
1100000,1,2,890
2649000,5,4,4050
849000,2,1,800
418888,2,1,900
2600000,3,3,3978
899000,8,2,2160
979000,8,3,2860
199000,1,1,2184.207862
815000,3,1,2184.207862
1025000,1,1,800
1375000,1,2,920
875000,3,2,1437
1350000,6,3,3000
989000,7,3,2184.207862
815156,4,4,2945
1949000,3,5,2560
669000,5,2,1893
900500,4,2,2184.207862
1465000,3,3,2184.207862
899000,3,1,1100
1100000,1,1,726
1199000,6,5,2184.207862
325000,2,1,2184.207862
599000,4,3,1176
1230000,4,3,2184.207862
3950000,3,3,2184.207862
1350000,10,5,3383
799000,5,3,1800
1599000,5,3,5600
1299900,4,4,2755
370000,1,1,2184.207862
3225,3,1,2184.207862
3649000,3,2,2184.207862
860000,5,3,2324
765000,3,4,2205
259000,1,1,750
1500000,8,3,3135
850000,2,2,1005
2494,2,1,2184.207862
99000,1,1,2184.207862
535000,1,1,750
849998,4,2,2342
1100000,2,2,2184.207862
998000,5,3,1574
1500000,3,2,2184.207862
875000,6,3,2860
2350000,1,2,1144
850000,5,2,1908
4000000,3,2.3738608579684373,2248
1200000,3,2,2184.207862
12000000,4,4,3809
1300000,2,2,2184.207862
799000,3,1,585
339000,3,1,250
875000,7,5,2680
799000,7,2,2296
799000,7,2,2296
285000,2,1,1380
2499000,5,4,1340
795000,4,2,1440
1799995,2,2,2184.207862
250000,3,2.3738608579684373,1224
5999000,3,3,3000
668000,3,2,1606
699900,3,2,1470
5295000,4,4,4600
2265000,2,2,1123
459000,2,1,950
1369000,4,2.3738608579684373,2900
879000,4,2,2184.207862
559000,1,1,679
869888,4,3,2184.207862
799888,3,2,2184.207862
749000,4,1,1040
499000,2,3,2184.207862
1295000,3,4,2193
879900,3,2,2242
400000,2,2,1150
699999,6,2.3738608579684373,2184.207862
289000,1,1,666
