Price,Age_08_04,Mfg_Year,KM,HP,CC,Quarterly_Tax,Weight
13500,23,2002,46986,90,2000,210,1165
13750,23,2002,72937,90,2000,210,1165
13950,24,2002,41711,90,2000,210,1165
14950,26,2002,48000,90,2000,210,1165
13750,30,2002,38500,90,2000,210,1170
12950,32,2002,61000,90,2000,210,1170
16900,27,2002,94612,90,2000,210,1245
18600,30,2002,75889,90,2000,210,1245
21500,27,2002,19700,192,1800,100,1185
12950,23,2002,71138,69,1900,185,1105
20950,25,2002,31461,192,1800,100,1185
19950,22,2002,43610,192,1800,100,1185
19600,25,2002,32189,192,1800,100,1185
21500,31,2002,23000,192,1800,100,1185
22500,32,2002,34131,192,1800,100,1185
22000,28,2002,18739,192,1800,100,1185
22750,30,2002,34000,192,1800,100,1185
17950,24,2002,21716,110,1600,85,1105
16750,24,2002,25563,110,1600,19,1065
16950,30,2002,64359,110,1600,85,1105
15950,30,2002,67660,110,1600,85,1105
16950,29,2002,43905,110,1600,100,1170
15950,28,2002,56349,110,1600,85,1120
16950,28,2002,32220,110,1600,85,1120
16250,29,2002,25813,110,1600,85,1120
15950,25,2002,28450,110,1600,85,1120
17495,27,2002,34545,110,1600,85,1120
15750,29,2002,41415,110,1600,85,1120
16950,28,2002,44142,110,1600,85,1120
17950,30,2002,11090,110,1600,85,1120
12950,29,2002,9750,97,1400,19,1100
15750,22,2002,35199,97,1400,85,1100
15950,27,2002,29510,97,1400,85,1100
14950,26,2002,32692,97,1400,85,1100
15500,22,2002,41000,97,1400,85,1100
15750,26,2002,43000,97,1400,85,1100
15950,25,2002,25000,97,1400,85,1100
14950,23,2002,10000,97,1400,85,1100
15750,32,2002,25329,97,1400,85,1100
14750,27,2002,27500,97,1400,85,1100
13950,22,2002,49059,97,1400,85,1100
16750,27,2002,44068,97,1400,85,1100
13950,22,2002,46961,97,1400,85,1100
16950,27,2002,110404,90,2000,234,1255
16950,22,2002,100250,90,2000,234,1255
19000,23,2002,84000,90,2000,234,1270
17950,27,2002,79375,90,2000,234,1255
15800,22,2002,75048,97,1400,85,1110
17950,22,2002,72215,90,2000,234,1255
21950,31,2002,64982,192,1800,100,1195
17950,22,2002,62636,90,2000,234,1255
15750,30,2002,57086,97,1400,85,1110
20500,26,2002,56000,110,1600,100,1180
21950,27,2002,49866,192,1800,100,1195
15500,25,2002,49163,110,1600,100,1165
13250,32,2002,45725,110,1600,85,1075
15250,28,2002,43210,97,1400,85,1110
15250,26,2002,43000,97,1400,85,1110
18950,23,2002,39704,110,1600,100,1180
15999,30,2002,38950,110,1600,85,1130
14950,22,2002,37400,97,1400,85,1110
16500,27,2002,37177,110,1600,85,1130
18750,31,2002,36544,110,1600,85,1130
17950,30,2002,33511,110,1600,85,1130
17950,27,2002,32809,97,1400,85,1110
16950,26,2002,32181,110,1600,19,1075
18950,28,2002,30993,110,1600,85,1130
14950,22,2002,30400,97,1400,85,1110
22250,22,2002,30000,110,2000,234,1275
15950,25,2002,29719,97,1400,85,1110
15950,28,2002,29206,97,1400,85,1110
12995,32,2002,29198,97,1400,85,1060
18950,28,2002,28817,110,1598,85,1130
15750,23,2002,28227,97,1400,85,1110
19950,28,2002,28000,110,1600,85,1130
16950,23,2002,28000,110,1600,85,1115
18750,31,2002,25266,110,1600,85,1130
18450,27,2002,23489,110,1600,85,1115
16895,29,2002,22575,110,1600,85,1115
14900,30,2002,22000,97,1400,85,1110
18950,25,2002,20019,110,16000,100,1180
17250,29,2002,20000,110,1600,85,1115
15450,25,2002,17003,97,1400,85,1110
17950,31,2002,16238,110,1600,100,1180
16650,25,2002,15414,97,1400,85,1110
17450,28,2002,8537,110,1600,85,1130
14900,30,2002,7000,97,1400,85,1100
17950,20,2003,66966,90,2000,210,1245
15950,19,2003,51884,97,1400,85,1100
21950,19,2003,50005,110,2000,234,1265
16450,20,2003,48110,97,1400,85,1100
22250,20,2003,37500,90,2000,234,1260
19950,16,2003,34472,90,1995,234,1260
15950,20,2003,33329,97,1400,85,1100
18900,20,2003,31850,110,1600,85,1120
19950,17,2003,30351,90,1995,234,1260
15950,19,2003,29435,97,1400,85,1100
15950,19,2003,25948,97,1400,85,1100
18750,11,2003,24500,110,1600,85,1120
17450,18,2003,23902,97,1400,85,1100
18990,20,2003,23175,110,1600,85,1120
16250,19,2003,19200,97,1400,85,1100
18500,13,2003,18000,71,1400,85,1125
18500,11,2003,16123,110,1600,85,1105
19450,11,2003,14635,110,1600,100,1155
16950,19,2003,13748,97,1400,85,1100
18800,14,2003,11500,110,1600,69,1045
17450,17,2003,10000,97,1400,85,1100
17950,20,2003,7187,110,1600,85,1105
32500,4,2004,1,116,2000,283,1480
31000,4,2004,4000,116,2000,283,1480
31275,4,2004,1500,116,2000,283,1480
24950,8,2004,13253,116,2000,234,1320
24950,8,2004,13253,116,2000,234,1320
22950,7,2004,10000,116,2000,234,1270
24990,8,2004,6000,90,2000,234,1280
21950,8,2004,10841,90,2000,234,1270
17900,7,2004,1,110,1600,85,1105
19250,20,2003,63000,90,2000,234,1255
22250,17,2003,57313,110,2000,234,1275
18950,13,2003,57037,110,1600,85,1115
19950,19,2003,51099,90,2000,234,1255
16350,14,2003,40010,110,1600,85,1115
18950,20,2003,39115,110,1600,85,1130
16950,17,2003,36012,110,1600,85,1130
21750,16,2003,36000,110,1600,85,1130
15950,20,2003,36000,110,1600,19,1075
16500,20,2003,35000,97,1400,85,1110
17950,17,2003,33740,97,1400,85,1135
15850,13,2003,33477,110,1600,19,1075
16250,20,2003,32627,97,1400,85,1110
15950,20,2003,29797,97,1400,85,1110
16250,19,2003,29441,97,1400,85,1110
15950,13,2003,29371,110,1600,19,1105
16500,20,2003,29000,97,1400,85,1110
16500,19,2003,27821,97,1400,85,1110
18450,19,2003,27371,97,1400,85,1135
16250,13,2003,25170,110,1600,19,1105
23000,11,2003,25000,116,2000,64,1320
19900,20,2003,23000,110,1600,85,1130
16450,20,2003,22588,97,1400,85,1110
23950,19,2003,21684,192,1800,19,1185
19950,13,2003,21428,110,1600,85,1130
18500,16,2003,20629,110,1600,85,1090
18950,15,2003,20270,110,1600,85,1130
16450,16,2003,20105,97,1400,85,1110
20500,20,2003,20000,110,1600,100,1165
24500,13,2003,19988,110,1600,85,1130
19450,19,2003,18328,110,1600,85,1130
20950,14,2003,17896,110,1600,85,1150
17200,20,2003,17300,97,1400,85,1110
19950,19,2003,17038,110,1600,85,1130
18450,10,2003,13747,97,1400,85,1110
19500,12,2003,13634,110,1600,85,1115
21750,13,2003,13178,110,1600,85,1130
16868,15,2003,13157,97,1400,85,1085
19500,16,2003,13000,110,1600,85,1105
18900,11,2003,12500,110,1600,85,1115
19750,17,2003,11999,110,1600,85,1130
19750,16,2003,11754,110,1600,100,1180
18950,16,2003,11000,110,1600,85,1105
20750,17,2003,10000,110,1598,85,1105
19600,9,2003,7650,110,1600,85,1115
19500,14,2003,6500,110,1600,85,1100
17650,11,2003,6155,97,1400,85,1110
19950,14,2003,6000,110,1600,85,1130
19950,14,2003,5459,110,1600,85,1130
20950,14,2003,5278,110,1600,85,1150
20500,12,2003,5000,110,1600,85,1130
17795,9,2003,1,98,1400,19,1065
18245,9,2003,1,110,1600,19,1075
23750,8,2004,11000,110,1600,85,1130
19500,8,2004,10077,97,1400,85,1110
18950,8,2004,10000,97,1400,85,1110
21950,8,2004,9788,110,1600,85,1130
19950,8,2004,8574,110,1600,85,1130
18950,8,2004,7000,110,1600,85,1115
19950,7,2004,6250,110,1600,85,1115
21950,8,2004,5000,110,1600,85,1130
22500,6,2004,3000,110,1600,85,1130
18500,7,2004,2000,110,1600,19,1075
18700,7,2004,450,97,1400,85,1110
21125,2,2004,225,97,1400,85,1110
21500,2,2004,15,110,1600,85,1130
17795,1,2004,1,98,1400,19,1100
18245,1,2004,1,110,1600,19,1075
6950,43,2001,243000,69,1900,185,1110
9500,38,2001,180638,90,2000,210,1160
11950,40,2001,179860,90,2000,210,1205
7750,43,2001,178858,110,1600,197,1084
11950,40,2001,161000,69,1900,185,1105
4350,44,2001,158320,69,1800,64,1110
4750,44,2001,131273,69,1800,64,1110
11750,40,2001,130062,69,1900,185,1140
13250,41,2001,123425,69,1900,185,1140
11950,37,2001,118217,110,1600,85,1075
11900,44,2001,110000,69,1900,185,1095
14750,39,2001,108847,90,2000,210,1205
9950,42,2001,105699,97,1400,69,1025
11950,39,2001,98823,110,1600,197,1119
11495,44,2001,96829,110,1600,85,1075
11250,40,2001,96518,97,1400,69,1025
10500,42,2001,92204,110,1600,85,1075
10450,35,2001,91456,69,1900,185,1110
12950,43,2001,89968,69,1900,185,1140
11500,44,2001,89757,110,1600,69,1045
12500,40,2001,85389,110,1600,85,1075
10950,43,2001,85017,97,1400,85,1060
11450,41,2001,84312,110,1600,85,1080
11950,37,2001,82743,110,1600,197,1121
13250,41,2001,81106,69,1900,185,1140
14750,40,2001,80425,90,2000,210,1205
11790,34,2001,78677,110,1600,85,1105
11450,40,2001,78425,110,1600,85,1075
13500,33,2001,78108,90,2000,210,1170
10950,33,2001,77321,110,1600,85,1075
13500,33,2001,75699,69,1900,185,1105
10950,41,2001,75697,97,1400,69,1025
10950,44,2001,74846,97,1400,69,1025
12950,38,2001,74319,110,1600,85,1075
11950,43,2001,74285,110,1600,85,1075
12450,44,2001,74172,110,1600,163,1615
11950,40,2001,73042,110,1598,85,1075
14950,44,2001,71793,110,1600,197,1067
12450,35,2001,71200,110,1600,85,1075
12950,38,2001,67805,110,1600,85,1075
11950,35,2001,65988,110,1600,69,1040
11690,34,2001,65345,97,1400,85,1060
12450,42,2001,64564,110,1600,85,1080
12750,36,2001,63459,97,1400,85,1060
11925,44,2001,63451,97,1400,69,1025
12950,33,2001,62000,110,1600,19,1075
11950,42,2001,61300,97,1400,69,1030
12900,41,2001,61200,110,1600,69,1045
11900,41,2001,61000,110,1600,85,1075
11650,38,2001,60829,110,1600,85,1075
10950,44,2001,60500,110,1600,85,1075
13950,35,2001,59500,69,1900,64,1110
13950,44,2001,59000,110,1600,85,1110
11950,40,2001,58954,110,1600,85,1080
10950,38,2001,58798,110,1600,85,1075
12450,38,2001,58363,110,1600,85,1055
11950,43,2001,58277,110,1600,69,1045
13500,33,2001,57711,90,2000,210,1165
11690,33,2001,57269,110,1600,85,1075
13500,39,2001,56001,110,1600,85,1075
11950,42,2001,55968,110,1600,69,1050
12900,39,2001,55678,110,1600,69,1030
13500,43,2001,55539,110,1600,85,1085
11750,42,2001,55400,110,1600,85,1075
11750,33,2001,55350,110,1600,85,1075
10850,43,2001,54600,110,1600,69,1030
11750,43,2001,53773,110,1600,85,1075
14950,42,2001,53719,110,1600,85,1105
9940,39,2001,53644,110,1600,19,1075
12900,42,2001,53350,110,1600,85,1075
13500,38,2001,53000,110,1600,85,1075
11750,44,2001,52084,97,1400,69,1025
11950,44,2001,52000,97,1400,69,1025
13450,33,2001,51945,110,1600,85,1075
11950,41,2001,51732,97,1400,69,1025
12495,39,2001,50873,110,1600,85,1075
13500,41,2001,50856,110,1600,69,1030
12750,40,2001,50640,110,1600,85,1075
12000,39,2001,50000,97,1400,85,1060
11950,38,2001,49500,110,1600,85,1075
12495,44,2001,49332,110,1600,85,1080
12450,34,2001,49291,110,1600,69,1040
14750,40,2001,48952,90,2000,210,1205
10950,39,2001,48945,110,1600,69,1040
13500,33,2001,48928,69,1900,185,1105
12950,38,2001,48197,110,1600,85,1075
13500,35,2001,48052,69,1900,185,1105
13450,34,2001,48011,110,1600,69,1030
13500,43,2001,48000,110,1600,85,1075
11480,41,2001,47350,110,1600,85,1075
13450,39,2001,46821,97,1400,85,1060
11495,39,2001,46694,110,1600,69,1040
12750,43,2001,46515,97,1400,69,1025
14990,38,2001,46327,110,1600,85,1055
12950,35,2001,46304,97,1400,85,1060
12950,40,2001,45886,110,1600,85,1080
12850,39,2001,45713,97,1400,19,1085
13950,40,2001,45600,110,1600,85,1105
11950,41,2001,45287,110,1600,85,1075
12950,39,2001,45081,110,1600,85,1075
11700,40,2001,44830,110,1600,85,1075
9950,37,2001,44757,97,1400,69,1025
11895,44,2001,44218,97,1400,85,1060
12950,43,2001,43632,110,1600,85,1075
12500,36,2001,43427,110,1600,69,1040
13875,39,2001,43254,110,1600,85,1075
10500,35,2001,43000,110,1600,69,1050
12295,33,2001,42823,110,1600,85,1075
13950,42,2001,42560,110,1600,85,1080
10950,38,2001,41754,110,1600,69,1040
12950,44,2001,41499,110,1600,197,1103
12850,40,2001,41339,110,1600,85,1080
13995,35,2001,41000,110,1600,85,1075
13750,39,2001,40000,110,1600,85,1055
12750,37,2001,39757,110,1600,85,1075
12500,41,2001,39659,110,1600,69,1045
13950,43,2001,39650,110,1600,85,1055
11500,39,2001,39524,97,1398,69,1025
13950,44,2001,39516,97,1400,85,1060
11895,41,2001,39439,97,1400,85,1060
9950,44,2001,39000,97,1400,69,1025
13500,42,2001,38932,110,1600,69,1040
11450,37,2001,38812,97,1400,69,1025
12450,42,2001,38665,110,1600,85,1075
12950,40,2001,38653,110,1600,85,1080
13995,44,2001,38461,110,1600,85,1080
11750,42,2001,38078,97,1400,69,1025
11650,39,2001,37782,97,1400,85,1060
9950,43,2001,37576,97,1400,69,1030
13950,41,2001,37533,110,1600,85,1075
12950,44,2001,37389,110,1600,85,1080
10950,38,2001,37320,97,1400,69,1025
9900,42,2001,37000,97,1400,69,1025
11950,44,2001,37000,110,1600,19,1075
